height,weight,label
194,68,저체중
196,45,저체중
171,51,저체중
190,44,저체중
142,76,비만
180,53,저체중
145,77,비만
189,64,저체중
175,79,비만
127,86,비만
200,83,정상체중
142,85,비만
190,54,저체중
171,37,저체중
157,58,정상체중
193,80,정상체중
156,57,정상체중
142,44,정상체중
127,35,정상체중
129,62,비만
171,42,저체중
160,74,비만
150,37,저체중
189,81,정상체중
194,43,저체중
134,85,비만
124,50,비만
188,39,저체중
177,78,정상체중
176,67,정상체중
200,49,저체중
194,79,정상체중
139,75,비만
128,35,정상체중
152,69,비만
198,64,저체중
143,86,비만
154,48,정상체중
133,59,비만
128,54,비만
173,88,비만
198,86,정상체중
163,39,저체중
152,86,비만
132,66,비만
170,58,정상체중
168,45,저체중
156,78,비만
188,77,정상체중
156,61,비만
172,62,정상체중
129,49,비만
148,43,정상체중
199,66,저체중
158,83,비만
198,54,저체중
141,86,비만
127,73,비만
168,89,비만
181,59,저체중
157,38,저체중
200,90,정상체중
130,78,비만
169,64,정상체중
120,61,비만
154,45,정상체중
126,68,비만
162,72,비만
197,52,저체중
171,77,비만
143,76,비만
186,53,저체중
146,81,비만
149,63,비만
157,87,비만
148,86,비만
150,82,비만
140,37,정상체중
200,38,저체중
193,60,저체중
170,81,비만
146,74,비만
121,85,비만
197,46,저체중
134,39,정상체중
125,82,비만
189,37,저체중
172,58,정상체중
145,89,비만
180,45,저체중
195,90,정상체중
181,87,비만
175,88,비만
138,62,비만
143,63,비만
190,72,정상체중
184,65,정상체중
172,54,저체중
188,57,저체중
148,49,정상체중
196,56,저체중
159,84,비만
138,51,비만
132,81,비만
160,89,비만
120,67,비만
178,50,저체중
190,48,저체중
130,84,비만
144,42,정상체중
126,70,비만
166,69,비만
157,84,비만
126,79,비만
148,85,비만
194,85,정상체중
135,65,비만
157,66,비만
193,37,저체중
172,86,비만
129,55,비만
134,66,비만
197,53,저체중
196,66,저체중
188,47,저체중
175,49,저체중
137,70,비만
134,86,비만
144,44,정상체중
193,85,정상체중
191,65,저체중
158,84,비만
133,78,비만
159,84,비만
128,84,비만
169,70,정상체중
135,61,비만
149,73,비만
197,90,정상체중
145,59,비만
166,49,저체중
186,80,정상체중
143,87,비만
197,67,저체중
149,82,비만
170,56,정상체중
188,87,정상체중
199,41,저체중
123,38,비만
131,88,비만
130,72,비만
159,82,비만
151,36,저체중
170,72,정상체중
136,48,비만
181,47,저체중
126,62,비만
155,43,저체중
124,90,비만
126,87,비만
124,77,비만
176,79,비만
172,89,비만
170,47,저체중
169,76,비만
145,63,비만
124,88,비만
156,68,비만
124,71,비만
199,57,저체중
195,37,저체중
194,78,정상체중
129,87,비만
146,35,저체중
122,68,비만
169,59,정상체중
178,65,정상체중
128,41,비만
146,80,비만
144,56,비만
156,58,정상체중
197,82,정상체중
200,77,정상체중
175,45,저체중
160,41,저체중
127,64,비만
125,39,정상체중
141,58,비만
175,36,저체중
137,88,비만
158,81,비만
177,58,정상체중
149,39,저체중
171,62,정상체중
122,84,비만
159,50,정상체중
172,58,정상체중
144,69,비만
167,87,비만
135,75,비만
135,58,비만
190,37,저체중
147,83,비만
190,73,정상체중
176,74,정상체중
155,83,비만
177,85,비만
186,39,저체중
136,86,비만
134,72,비만
187,43,저체중
127,77,비만
180,38,저체중
135,74,비만
138,80,비만
149,89,비만
132,79,비만
196,87,정상체중
127,77,비만
178,90,비만
128,87,비만
126,78,비만
194,58,저체중
194,64,저체중
195,39,저체중
188,63,저체중
130,66,비만
159,89,비만
193,35,저체중
179,82,비만
135,87,비만
195,90,정상체중
171,54,저체중
144,38,저체중
193,50,저체중
157,82,비만
154,53,정상체중
134,40,정상체중
173,83,비만
189,48,저체중
136,67,비만
179,52,저체중
159,73,비만
200,84,정상체중
155,60,정상체중
189,87,정상체중
190,69,정상체중
138,56,비만
192,48,저체중
183,51,저체중
175,64,정상체중
137,60,비만
151,43,정상체중
151,62,비만
200,70,저체중
121,52,비만
199,55,저체중
153,71,비만
177,77,정상체중
186,52,저체중
151,76,비만
134,52,비만
180,50,저체중
135,72,비만
122,78,비만
149,73,비만
193,70,정상체중
180,65,정상체중
162,64,정상체중
187,59,저체중
121,90,비만
188,72,정상체중
132,36,정상체중
175,77,비만
146,57,비만
181,53,저체중
183,55,저체중
147,37,저체중
151,83,비만
129,40,정상체중
168,44,저체중
197,39,저체중
120,85,비만
192,88,정상체중
149,84,비만
130,76,비만
179,57,저체중
195,46,저체중
176,88,비만
133,66,비만
176,75,정상체중
168,39,저체중
187,35,저체중
139,58,비만
152,38,저체중
127,66,비만
189,85,정상체중
145,62,비만
149,73,비만
146,44,정상체중
124,62,비만
